date,cases,deaths,hospitalcritical
13/07/2020,3344244,127978,2254
14/07/2020,3402862,128720,2263
15/07/2020,3472234,129584,2322
16/07/2020,3542727,130524,2314
17/07/2020,3619225,131462,2352
18/07/2020,3683998,132339,2343
19/07/2020,3748205,132865,2362
20/07/2020,3804914,133241,2403
21/07/2020,3867801,134284,2414
22/07/2020,3937243,135433,2444
23/07/2020,4008669,136504,2467
24/07/2020,4083764,137678,2709
25/07/2020,4148552,138690,2729
26/07/2020,4209320,139251,2723
27/07/2020,4263804,140317,2723
28/07/2020,4322256,141428,2748
29/07/2020,4386412,142933,2771
30/07/2020,4455391,144183,2762
31/07/2020,4523226,145507,2701
01/08/2020,4583866,146708,2698
02/08/2020,4637188,147204,2645
03/08/2020,4679931,147720,2664
04/08/2020,4731136,148962,2701
05/08/2020,4783827,150316,2721
06/08/2020,4837872,151558,2714
07/08/2020,4898709,152880,2628
08/08/2020,4952201,153966,2566
09/08/2020,5002967,154587,2507
10/08/2020,5044337,155017,2529
11/08/2020,5099272,156337,2422
12/08/2020,5155458,157854,2602
13/08/2020,5207221,159017,2574
14/08/2020,5264365,160243,2555
15/08/2020,5320368,161470,2526
16/08/2020,5362871,162087,2481
17/08/2020,5400622,162498,2444
18/08/2020,5440692,163677,2467
19/08/2020,5485765,165088,2375
20/08/2020,5529609,166217,2330
21/08/2020,5576086,167336,2288
22/08/2020,5622119,168371,2204
23/08/2020,5660019,168948,2131
24/08/2020,5694562,169289,2112
25/08/2020,5731401,170429,2161
26/08/2020,5775732,171729,2143
27/08/2020,5819843,172857,2128
28/08/2020,5865958,173877,2087
29/08/2020,5909953,174894,2062
30/08/2020,5948719,175371,2057
31/08/2020,5980439,175751,2080
01/09/2020,6022681,176765,2041
02/09/2020,6053348,177800,2027
03/09/2020,6097979,178872,2038
04/09/2020,6149579,179871,1998
05/09/2020,6194439,180797,1956
06/09/2020,6227472,181249,1912
07/09/2020,6255589,181476,1881
08/09/2020,6277899,181823,1870
09/09/2020,6308655,182911,1906
10/09/2020,6346041,184072,1923
11/09/2020,6390739,185087,1816
12/09/2020,6432589,185904,1721
13/09/2020,6467168,186296,1654
14/09/2020,6500740,186703,1601
15/09/2020,6535518,187737,1574
16/09/2020,6575837,188927,1647
17/09/2020,6619479,189807,1662
18/09/2020,6666368,190708,1608
19/09/2020,6712036,191455,1577
20/09/2020,6747569,191782,1595
21/09/2020,6786731,192063,1570
22/09/2020,6835717,192922,1558
23/09/2020,6875215,194078,1545
24/09/2020,6918556,195016,1560
25/09/2020,6973834,195863,1508
26/09/2020,7021061,196736,1509
27/09/2020,7056051,197046,1511
28/09/2020,7091427,197292,1513
29/09/2020,7128193,198016,1497
30/09/2020,7173102,199080,1510
01/10/2020,7218822,199942,1543
02/10/2020,7268249,200784,1534
03/10/2020,7319123,201522,1501
04/10/2020,7357288,201902,1485
05/10/2020,7395040,202233,1514
06/10/2020,7433886,202846,1609
07/10/2020,7485102,203775,1650
08/10/2020,7540410,204754,1638
09/10/2020,7597495,205668,1651
10/10/2020,7655038,206358,1667
